TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2025-01-12,2025-01-12T10:00:00,2025-01-12T10:30:00,1747.77,190,5230,3102.856,189.374
2025-01-12,2025-01-12T10:30:00,2025-01-12T11:00:00,1746.82,203,5358,3172.553,235.627
2025-01-12,2025-01-12T11:00:00,2025-01-12T11:30:00,1746.62,172,5462,3275.622,267.758
2025-01-12,2025-01-12T11:30:00,2025-01-12T12:00:00,1733.02,167,5536,3352.816,283.164
2025-01-12,2025-01-12T12:00:00,2025-01-12T12:30:00,1734.67,179,5638,3432.521,291.81
2025-01-12,2025-01-12T12:30:00,2025-01-12T13:00:00,1736.92,150,5728,3532.894,308.187
2025-01-12,2025-01-12T13:00:00,2025-01-12T13:30:00,1723.92,71,5725,3627.679,302.401
2025-01-12,2025-01-12T13:30:00,2025-01-12T14:00:00,1596.18,221,5717,3717.595,182.225
2025-01-12,2025-01-12T14:00:00,2025-01-12T14:30:00,1596.73,314,5651,3789.355,-49.085
2025-01-12,2025-01-12T14:30:00,2025-01-12T15:00:00,1563.01,206,5625,3809.608,46.381
2025-01-12,2025-01-12T15:00:00,2025-01-12T15:30:00,1725.02,139,5619,3826.819,-71.839
2025-01-12,2025-01-12T15:30:00,2025-01-12T16:00:00,1721.02,73,5644,3862.166,-12.186
2025-01-12,2025-01-12T16:00:00,2025-01-12T16:30:00,1858.73,62,5698,3903.781,-126.512
2025-01-12,2025-01-12T16:30:00,2025-01-12T17:00:00,1967.45,0,5866,3962.924,-64.374
2025-01-12,2025-01-12T17:00:00,2025-01-12T17:30:00,2097.6,0,6100,4027.894,-25.494
2025-01-12,2025-01-12T17:30:00,2025-01-12T18:00:00,2088.55,150,6345,4076.486,29.964
2025-01-12,2025-01-12T18:00:00,2025-01-12T18:30:00,2092.15,5,6349,4123.288,128.563
2025-01-12,2025-01-12T18:30:00,2025-01-12T19:00:00,1945.43,50,6221,4163.08,62.49
2025-01-12,2025-01-12T19:00:00,2025-01-12T19:30:00,1931.68,0,6103,4200.491,-29.171
2025-01-12,2025-01-12T19:30:00,2025-01-12T20:00:00,1754.91,-123,5985,4242.344,110.746
2025-01-12,2025-01-12T20:00:00,2025-01-12T20:30:00,1693.18,-71,5834,4283.674,-71.854
2025-01-12,2025-01-12T20:30:00,2025-01-12T21:00:00,1215.22,-19,5702,4330.015,175.765
2025-01-12,2025-01-12T21:00:00,2025-01-12T21:30:00,1216.27,-61,5550,4377.399,17.331
2025-01-12,2025-01-12T21:30:00,2025-01-12T22:00:00,1064.58,-182,5368,4422.16,63.26
2025-01-12,2025-01-12T22:00:00,2025-01-12T22:30:00,1065.08,-240,5120,4465.697,-170.777
2025-01-12,2025-01-12T22:30:00,2025-01-12T23:00:00,868.64,-462,4901,4508.972,-14.612
