DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2025-01-09,2025-01-10,2025-01-09T23:00:00,2025-01-09T23:30:00,4580,891,5471
2025-01-09,2025-01-10,2025-01-09T23:30:00,2025-01-10T00:00:00,4592,828,5420
2025-01-10,2025-01-10,2025-01-10T00:00:00,2025-01-10T00:30:00,4333,795,5128
2025-01-10,2025-01-10,2025-01-10T00:30:00,2025-01-10T01:00:00,4247,754,5001
2025-01-10,2025-01-10,2025-01-10T01:00:00,2025-01-10T01:30:00,4130,738,4868
2025-01-10,2025-01-10,2025-01-10T01:30:00,2025-01-10T02:00:00,4085,745,4830
2025-01-10,2025-01-10,2025-01-10T02:00:00,2025-01-10T02:30:00,4006,732,4738
2025-01-10,2025-01-10,2025-01-10T02:30:00,2025-01-10T03:00:00,4009,729,4738
2025-01-10,2025-01-10,2025-01-10T03:00:00,2025-01-10T03:30:00,3964,711,4675
2025-01-10,2025-01-10,2025-01-10T03:30:00,2025-01-10T04:00:00,3941,706,4647
2025-01-10,2025-01-10,2025-01-10T04:00:00,2025-01-10T04:30:00,3925,700,4625
2025-01-10,2025-01-10,2025-01-10T04:30:00,2025-01-10T05:00:00,3900,701,4601
2025-01-10,2025-01-10,2025-01-10T05:00:00,2025-01-10T05:30:00,3918,709,4627
2025-01-10,2025-01-10,2025-01-10T05:30:00,2025-01-10T06:00:00,3970,723,4693
2025-01-10,2025-01-10,2025-01-10T06:00:00,2025-01-10T06:30:00,4090,766,4856
2025-01-10,2025-01-10,2025-01-10T06:30:00,2025-01-10T07:00:00,4302,864,5166
2025-01-10,2025-01-10,2025-01-10T07:00:00,2025-01-10T07:30:00,4572,948,5520
2025-01-10,2025-01-10,2025-01-10T07:30:00,2025-01-10T08:00:00,4922,1069,5991
2025-01-10,2025-01-10,2025-01-10T08:00:00,2025-01-10T08:30:00,5151,1149,6300
2025-01-10,2025-01-10,2025-01-10T08:30:00,2025-01-10T09:00:00,5198,1195,6393
