StartTime,	EndTime,	NetImbalanceVolume,	ImbalanceSettlementPrice
2024-06-10T22:00:00, 	2024-06-10T22:30:00, 	13.33, 	149.3
2024-06-10T22:30:00, 	2024-06-10T23:00:00, 	0.145, 	101.34
2024-06-10T23:00:00, 	2024-06-10T23:30:00, 	-8.932, 	73.52
2024-06-10T23:30:00, 	2024-06-11T00:00:00, 	-12.648, 	67
2024-06-11T00:00:00, 	2024-06-11T00:30:00, 	-9.129, 	68.35
2024-06-11T00:30:00, 	2024-06-11T01:00:00, 	-2.601, 	60.99
2024-06-11T01:00:00, 	2024-06-11T01:30:00, 	-7.231, 	76
2024-06-11T01:30:00, 	2024-06-11T02:00:00, 	-6.887, 	55.12
2024-06-11T02:00:00, 	2024-06-11T02:30:00, 	-5.029, 	79.35
2024-06-11T02:30:00, 	2024-06-11T03:00:00, 	-6.75, 	65.09
2024-06-11T03:00:00, 	2024-06-11T03:30:00, 	-10.588, 	81.11
2024-06-11T03:30:00, 	2024-06-11T04:00:00, 	-21.095, 	75.37
2024-06-11T04:00:00, 	2024-06-11T04:30:00, 	-28.902, 	73.07
2024-06-11T04:30:00, 	2024-06-11T05:00:00, 	-26.68, 	77.97
2024-06-11T05:00:00, 	2024-06-11T05:30:00, 	-14.42, 	76.62
2024-06-11T05:30:00, 	2024-06-11T06:00:00, 	-5.904, 	76.84
2024-06-11T06:00:00, 	2024-06-11T06:30:00, 	2.512, 	135.37
2024-06-11T06:30:00, 	2024-06-11T07:00:00, 	11.926, 	145.54
2024-06-11T07:00:00, 	2024-06-11T07:30:00, 	22.577, 	153.2
2024-06-11T07:30:00, 	2024-06-11T08:00:00, 	19.489, 	147.43
2024-06-11T08:00:00, 	2024-06-11T08:30:00, 	4.009, 	114.76
2024-06-11T08:30:00, 	2024-06-11T09:00:00, 	-10.706, 	75.92
2024-06-11T09:00:00, 	2024-06-11T09:30:00, 	-15.142, 	70.25
2024-06-11T09:30:00, 	2024-06-11T10:00:00, 	-12.597, 	83.76
2024-06-11T10:00:00, 	2024-06-11T10:30:00, 	106.75, 	
2024-06-11T10:30:00, 	2024-06-11T11:00:00, 	106.61, 	
2024-06-11T11:00:00, 	2024-06-11T11:30:00, 	-33.179, 	60.23
2024-06-11T11:30:00, 	2024-06-11T12:00:00, 	-26.879, 	42.81
2024-06-11T12:00:00, 	2024-06-11T12:30:00, 	-23.445, 	41.53
2024-06-11T12:30:00, 	2024-06-11T13:00:00, 	-26.347, 	45.13
