from,to,latitude,longitude,altitude,temperature,windDirection,windSpeed,windGust,globalRadiation,humidity,pressure,cloudiness,lowClouds,mediumClouds,highClouds
2025-01-03T03:00:00Z,2025-01-03T03:00:00Z,52.6900,-8.9180,5,1.8,325.8,1.6,2.9,0.0,80.5,1028.3,0.5,0.0,0.0,0.0
2025-01-03T02:00:00Z,2025-01-03T03:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T04:00:00Z,2025-01-03T04:00:00Z,52.6900,-8.9180,5,1.5,326.0,1.2,2.8,0.0,79.5,1028.1,0.2,0.0,0.0,0.0
2025-01-03T03:00:00Z,2025-01-03T04:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T05:00:00Z,2025-01-03T05:00:00Z,52.6900,-8.9180,5,0.5,165.0,1.9,2.6,0.0,94.0,1027.8,4.8,1.5,0.0,0.0
2025-01-03T04:00:00Z,2025-01-03T05:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T06:00:00Z,2025-01-03T06:00:00Z,52.6900,-8.9180,5,0.5,147.0,0.4,2.5,0.0,91.2,1027.6,5.5,2.7,0.0,0.0
2025-01-03T05:00:00Z,2025-01-03T06:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T07:00:00Z,2025-01-03T07:00:00Z,52.6900,-8.9180,5,0.6,161.6,0.8,2.5,0.0,95.1,1027.6,5.6,4.1,0.0,0.0
2025-01-03T06:00:00Z,2025-01-03T07:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T08:00:00Z,2025-01-03T08:00:00Z,52.6900,-8.9180,5,-0.2,121.7,1.6,2.6,0.0,100.0,1027.8,9.4,5.5,0.0,0.0
2025-01-03T07:00:00Z,2025-01-03T08:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T09:00:00Z,2025-01-03T09:00:00Z,52.6900,-8.9180,5,-1.0,129.6,1.6,2.7,0.3,99.2,1027.8,12.2,9.2,0.0,0.0
2025-01-03T08:00:00Z,2025-01-03T09:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T10:00:00Z,2025-01-03T10:00:00Z,52.6900,-8.9180,5,-0.0,142.1,1.4,2.9,45.5,98.4,1027.9,5.9,2.0,0.0,0.0
2025-01-03T09:00:00Z,2025-01-03T10:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T11:00:00Z,2025-01-03T11:00:00Z,52.6900,-8.9180,5,1.7,189.6,0.6,2.9,130.9,90.5,1027.6,0.0,0.0,0.0,0.0
2025-01-03T10:00:00Z,2025-01-03T11:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T12:00:00Z,2025-01-03T12:00:00Z,52.6900,-8.9180,5,2.6,166.2,1.3,2.7,202.7,88.1,1027.4,0.1,0.1,0.0,0.0
2025-01-03T11:00:00Z,2025-01-03T12:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T13:00:00Z,2025-01-03T13:00:00Z,52.6900,-8.9180,5,3.8,239.3,1.6,2.5,232.5,79.8,1026.7,0.0,0.0,0.0,0.0
2025-01-03T12:00:00Z,2025-01-03T13:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T14:00:00Z,2025-01-03T14:00:00Z,52.6900,-8.9180,5,4.0,187.2,1.2,2.6,217.9,82.2,1025.7,0.3,0.0,0.0,0.3
2025-01-03T13:00:00Z,2025-01-03T14:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T15:00:00Z,2025-01-03T15:00:00Z,52.6900,-8.9180,5,3.5,164.9,1.7,2.8,157.7,88.9,1025.1,32.1,0.0,0.0,32.1
2025-01-03T14:00:00Z,2025-01-03T15:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T16:00:00Z,2025-01-03T16:00:00Z,52.6900,-8.9180,5,2.7,153.7,2.2,3.0,73.9,91.2,1024.6,100.0,0.0,0.0,100.0
2025-01-03T15:00:00Z,2025-01-03T16:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T17:00:00Z,2025-01-03T17:00:00Z,52.6900,-8.9180,5,2.0,143.8,2.1,3.1,6.5,93.5,1024.3,100.0,2.8,0.0,100.0
2025-01-03T16:00:00Z,2025-01-03T17:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T18:00:00Z,2025-01-03T18:00:00Z,52.6900,-8.9180,5,1.9,143.8,1.6,2.9,0.0,91.8,1024.2,100.0,57.1,0.0,100.0
2025-01-03T17:00:00Z,2025-01-03T18:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T19:00:00Z,2025-01-03T19:00:00Z,52.6900,-8.9180,5,1.7,148.6,1.8,3.0,0.0,89.6,1024.3,100.0,77.8,0.0,100.0
2025-01-03T18:00:00Z,2025-01-03T19:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T20:00:00Z,2025-01-03T20:00:00Z,52.6900,-8.9180,5,1.8,124.0,1.4,3.2,0.0,88.3,1024.0,99.2,75.2,0.0,97.3
2025-01-03T19:00:00Z,2025-01-03T20:00:00Z,52.6900,-8.9180,5,,,,,,,,,,,
2025-01-03T21:00:00Z,2025-01-03T21:00:00Z,52.6900,-8.9180,5,1.8,113.0,2.0,3.6,0.0,90.8,1023.7,98.7,80.3,0.0,94.2
