ROW,StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
1,2024-08-31T00:00:00,2024-08-31T00:30:00,-14.187,88.9,-1261.2243
1,2024-08-31T01:00:00,2024-08-31T01:30:00,-22.761,75,-1707.075
1,2024-08-31T02:00:00,2024-08-31T02:30:00,-18.887,18,-339.966
1,2024-08-31T03:00:00,2024-08-31T03:30:00,-30.427,18,-547.686
1,2024-08-31T04:00:00,2024-08-31T04:30:00,-27.776,18,-499.968
1,2024-08-31T05:00:00,2024-08-31T05:30:00,-38.457,18,-692.226
1,2024-08-31T06:00:00,2024-08-31T06:30:00,-34.084,51.44,-1753.28096
1,2024-08-31T07:00:00,2024-08-31T07:30:00,-7.806,114.19,-891.36714
1,2024-08-31T08:00:00,2024-08-31T08:30:00,11.02,167.78,1848.9356
1,2024-08-31T09:00:00,2024-08-31T09:30:00,15.313,163.72,2507.04436
1,2024-08-31T10:00:00,2024-08-31T10:30:00,12.48,152.09,1898.0832
1,2024-08-31T11:00:00,2024-08-31T11:30:00,-1.562,105.46,-164.72852
1,2024-08-31T12:00:00,2024-08-31T12:30:00,-4.277,129.96,-555.83892
1,2024-08-31T13:00:00,2024-08-31T13:30:00,-9.615,79.39,-763.33485
1,2024-08-31T14:00:00,2024-08-31T14:30:00,-20.611,27.16,-559.79476
1,2024-08-31T15:00:00,2024-08-31T15:30:00,-35.245,46.87,-1651.93315
1,2024-08-31T16:00:00,2024-08-31T16:30:00,-26.118,74.56,-1947.35808
1,2024-08-31T17:00:00,2024-08-31T17:30:00,-14.362,71.14,-1021.71268
1,2024-08-31T18:00:00,2024-08-31T18:30:00,-7.25,69.52,-504.02
1,2024-08-31T19:00:00,2024-08-31T19:30:00,11.427,168.27,1922.82129
1,2024-08-31T20:00:00,2024-08-31T20:30:00,16.739,159.56,2670.87484
1,2024-08-31T21:00:00,2024-08-31T21:30:00,7.599,154.11,1171.08189
1,2024-08-31T22:00:00,2024-08-31T22:30:00,35.71,157.24,5615.0404
1,2024-08-31T23:00:00,2024-08-31T23:30:00,31.832,153.38,4882.39216
1,2024-09-01T00:00:00,2024-09-01T00:30:00,41.752,158.01,6597.23352
