ROW,StartTime,EndTime,ImbalanceVolume,ImbalancePrice,ImbalanceCost
1,2024-09-06T00:00:00,2024-09-06T00:30:00,-10.856,52.36,-568.42016
1,2024-09-06T01:00:00,2024-09-06T01:30:00,-2.211,27.96,-61.81956
1,2024-09-06T02:00:00,2024-09-06T02:30:00,-8.653,5.49,-47.50497
1,2024-09-06T03:00:00,2024-09-06T03:30:00,-22.136,26.21,-580.18456
1,2024-09-06T04:00:00,2024-09-06T04:30:00,-4.389,79.76,-350.06664
1,2024-09-06T05:00:00,2024-09-06T05:30:00,-2.827,68.28,-193.02756
1,2024-09-06T06:00:00,2024-09-06T06:30:00,-23.981,71.77,-1721.11637
1,2024-09-06T07:00:00,2024-09-06T07:30:00,1.888,114.16,215.53408
1,2024-09-06T08:00:00,2024-09-06T08:30:00,6.781,145.07,983.71967
1,2024-09-06T09:00:00,2024-09-06T09:30:00,14.892,145.35,2164.5522
1,2024-09-06T10:00:00,2024-09-06T10:30:00,14.832,145.35,2155.8312
1,2024-09-06T11:00:00,2024-09-06T11:30:00,-5.346,47.14,-252.01044
1,2024-09-06T12:00:00,2024-09-06T12:30:00,38.438,170.25,6544.0695
1,2024-09-06T13:00:00,2024-09-06T13:30:00,40.812,159.33,6502.57596
1,2024-09-06T14:00:00,2024-09-06T14:30:00,50.17,167.62,8409.4954
1,2024-09-06T15:00:00,2024-09-06T15:30:00,90.461,195.85,17716.78685
1,2024-09-06T16:00:00,2024-09-06T16:30:00,81.885,184.83,15134.80455
1,2024-09-06T17:00:00,2024-09-06T17:30:00,77.004,162.74,12531.63096
1,2024-09-06T18:00:00,2024-09-06T18:30:00,82.35,183.53,15113.6955
1,2024-09-06T19:00:00,2024-09-06T19:30:00,78.226,179.91,14073.63966
1,2024-09-06T20:00:00,2024-09-06T20:30:00,93.469,184.04,17202.03476
1,2024-09-06T21:00:00,2024-09-06T21:30:00,79.726,196.58,15672.53708
1,2024-09-06T22:00:00,2024-09-06T22:30:00,36.875,182.29,6721.94375
1,2024-09-06T23:00:00,2024-09-06T23:30:00,46.895,193.34,9066.6793
1,2024-09-07T00:00:00,2024-09-07T00:30:00,22.429,164.04,3679.25316
1,2024-09-07T01:00:00,2024-09-07T01:30:00,26.262,159.94,4200.34428
1,2024-09-07T02:00:00,2024-09-07T02:30:00,1.112,110.2,122.5424
1,2024-09-07T03:00:00,2024-09-07T03:30:00,-5.377,77.94,-419.08338
1,2024-09-07T04:00:00,2024-09-07T04:30:00,-3.934,77.89,-306.41926
1,2024-09-07T05:00:00,2024-09-07T05:30:00,5.896,147.04,866.94784
1,2024-09-07T06:00:00,2024-09-07T06:30:00,-2.762,103.28,-285.25936
1,2024-09-07T07:00:00,2024-09-07T07:30:00,6.666,137.7,917.9082
1,2024-09-07T08:00:00,2024-09-07T08:30:00,11.832,153.79,1819.64328
1,2024-09-07T09:00:00,2024-09-07T09:30:00,18.043,181.24,3270.11332
1,2024-09-07T10:00:00,2024-09-07T10:30:00,16.842,177.69,2992.65498
1,2024-09-07T11:00:00,2024-09-07T11:30:00,29.438,214.19,6305.32522
1,2024-09-07T12:00:00,2024-09-07T12:30:00,28.22,222.89,6289.9558
1,2024-09-07T13:00:00,2024-09-07T13:30:00,16.687,192.55,3213.08185
1,2024-09-07T14:00:00,2024-09-07T14:30:00,12.353,191.82,2369.55246
1,2024-09-07T15:00:00,2024-09-07T15:30:00,16.115,188.94,3044.7681
1,2024-09-07T16:00:00,2024-09-07T16:30:00,25.334,193.13,4892.75542
1,2024-09-07T17:00:00,2024-09-07T17:30:00,44.563,295.09,13150.09567
1,2024-09-07T18:00:00,2024-09-07T18:30:00,52.442,358.37,18793.63954
1,2024-09-07T19:00:00,2024-09-07T19:30:00,52.167,144.18,7521.43806
1,2024-09-07T20:00:00,2024-09-07T20:30:00,59.444,268.56,15964.28064
1,2024-09-07T21:00:00,2024-09-07T21:30:00,39.103,189.43,7407.28129
1,2024-09-07T22:00:00,2024-09-07T22:30:00,40.232,173.79,6991.91928
1,2024-09-07T23:00:00,2024-09-07T23:30:00,34.212,152.95,5232.7254
1,2024-09-08T00:00:00,2024-09-08T00:30:00,25.762,146.5,3774.133
1,2024-09-08T01:00:00,2024-09-08T01:30:00,17.728,146.47,2596.62016
1,2024-09-08T02:00:00,2024-09-08T02:30:00,17.891,146.47,2620.49477
1,2024-09-08T03:00:00,2024-09-08T03:30:00,18.351,146.77,2693.37627
1,2024-09-08T04:00:00,2024-09-08T04:30:00,14.086,145.16,2044.72376
1,2024-09-08T05:00:00,2024-09-08T05:30:00,5.126,153.48,786.73848
1,2024-09-08T06:00:00,2024-09-08T06:30:00,-6.412,67.99,-435.95188
1,2024-09-08T07:00:00,2024-09-08T07:30:00,-8.051,69.5,-559.5445
1,2024-09-08T08:00:00,2024-09-08T08:30:00,-4.38,89.51,-392.0538
1,2024-09-08T09:00:00,2024-09-08T09:30:00,-2.727,82.93,-226.15011
1,2024-09-08T10:00:00,2024-09-08T10:30:00,-17.033,61.47,-1047.01851
1,2024-09-08T11:00:00,2024-09-08T11:30:00,-15.19,65.93,-1001.4767
1,2024-09-08T12:00:00,2024-09-08T12:30:00,4.376,106.01,463.89976
1,2024-09-08T13:00:00,2024-09-08T13:30:00,9.316,216.89,2020.54724
1,2024-09-08T14:00:00,2024-09-08T14:30:00,-5.86,48.11,-281.9246
1,2024-09-08T15:00:00,2024-09-08T15:30:00,-37.665,11,-414.315
1,2024-09-08T16:00:00,2024-09-08T16:30:00,-45.734,27.07,-1238.01938
1,2024-09-08T17:00:00,2024-09-08T17:30:00,-25.594,45.82,-1172.71708
1,2024-09-08T18:00:00,2024-09-08T18:30:00,-4.208,55.65,-234.1752
1,2024-09-08T19:00:00,2024-09-08T19:30:00,-2.313,115.77,-267.77601
1,2024-09-08T20:00:00,2024-09-08T20:30:00,-13.461,73.13,-984.40293
1,2024-09-08T21:00:00,2024-09-08T21:30:00,-17.899,42.09,-753.36891
1,2024-09-08T22:00:00,2024-09-08T22:30:00,-22.625,24.03,-543.67875
1,2024-09-08T23:00:00,2024-09-08T23:30:00,-3.452,57.02,-196.83304
1,2024-09-09T00:00:00,2024-09-09T00:30:00,-8.666,14.67,-127.13022
1,2024-09-09T01:00:00,2024-09-09T01:30:00,3.6,121.22,436.392
1,2024-09-09T02:00:00,2024-09-09T02:30:00,10.482,145.54,1525.55028
1,2024-09-09T03:00:00,2024-09-09T03:30:00,11.631,145.74,1695.10194
1,2024-09-09T04:00:00,2024-09-09T04:30:00,-9.959,41.93,-417.58087
1,2024-09-09T05:00:00,2024-09-09T05:30:00,-30.819,69.39,-2138.53041
1,2024-09-09T06:00:00,2024-09-09T06:30:00,-2.487,115.47,-287.17389
1,2024-09-09T07:00:00,2024-09-09T07:30:00,25.051,146.55,3671.22405
1,2024-09-09T08:00:00,2024-09-09T08:30:00,25.65,150.01,3847.7565
1,2024-09-09T09:00:00,2024-09-09T09:30:00,-4.842,86.59,-419.26878
1,2024-09-09T10:00:00,2024-09-09T10:30:00,-40.854,52.43,-2141.97522
1,2024-09-09T11:00:00,2024-09-09T11:30:00,-42.644,30.31,-1292.53964
