TradeDate,StartTime,EndTime,TotalPN,NetInterconnectorSchedule,TSODemandForecast,TSORenewableForecast,CalculatedImbalance
2024-09-23,2024-09-23T03:00:00,2024-09-23T03:30:00,2226.13,525,3436,564.602,120.268
2024-09-23,2024-09-23T03:30:00,2024-09-23T04:00:00,2225.88,544,3448,554.652,123.468
2024-09-23,2024-09-23T04:00:00,2024-09-23T04:30:00,2215.53,578,3477,543.361,140.109
2024-09-23,2024-09-23T04:30:00,2024-09-23T05:00:00,2357.58,690,3570,554.816,-32.396
2024-09-23,2024-09-23T05:00:00,2024-09-23T05:30:00,2647.02,725,3738,566.526,-200.546
2024-09-23,2024-09-23T05:30:00,2024-09-23T06:00:00,2869.52,682,4040,565.131,-76.651
2024-09-23,2024-09-23T06:00:00,2024-09-23T06:30:00,3048.68,832,4371,563.983,-73.663
2024-09-23,2024-09-23T06:30:00,2024-09-23T07:00:00,3091.89,980,4804,542.971,189.139
2024-09-23,2024-09-23T07:00:00,2024-09-23T07:30:00,3314.94,980,5009,523.142,190.918
2024-09-23,2024-09-23T07:30:00,2024-09-23T08:00:00,3305.34,980,5114,534.609,294.052
2024-09-23,2024-09-23T08:00:00,2024-09-23T08:30:00,3319,980,5184,545.195,339.805
2024-09-23,2024-09-23T08:30:00,2024-09-23T09:00:00,3379.14,980,5267,547.951,359.909
2024-09-23,2024-09-23T09:00:00,2024-09-23T09:30:00,3415.63,980,5263,560.361,307.01
2024-09-23,2024-09-23T09:30:00,2024-09-23T10:00:00,3385.14,980,5220,594.565,260.296
2024-09-23,2024-09-23T10:00:00,2024-09-23T10:30:00,3426.84,980,5219,629.057,183.103
2024-09-23,2024-09-23T10:30:00,2024-09-23T11:00:00,3284.76,980,5168,714.956,188.284
2024-09-23,2024-09-23T11:00:00,2024-09-23T11:30:00,3283.06,980,5156,800.435,92.505
2024-09-23,2024-09-23T11:30:00,2024-09-23T12:00:00,3285.34,980,5163,872.024,25.636
2024-09-23,2024-09-23T12:00:00,2024-09-23T12:30:00,3510.55,980,5107,943.048,-326.598
2024-09-23,2024-09-23T12:30:00,2024-09-23T13:00:00,3446.05,980,4927,953.96,-453.009
2024-09-23,2024-09-23T13:00:00,2024-09-23T13:30:00,3433.9,980,4934,965.962,-445.862
2024-09-23,2024-09-23T13:30:00,2024-09-23T14:00:00,3464.6,980,4916,966.851,-495.451
2024-09-23,2024-09-23T14:00:00,2024-09-23T14:30:00,3457.97,980,4911,968.209,-495.179
2024-09-23,2024-09-23T14:30:00,2024-09-23T15:00:00,3461.66,950,4926,964.04,-449.7
2024-09-23,2024-09-23T15:00:00,2024-09-23T15:30:00,3507.48,924,4962,959.45,-428.93
2024-09-23,2024-09-23T15:30:00,2024-09-23T16:00:00,3525.63,889,5105,950.18,-259.811
2024-09-23,2024-09-23T16:00:00,2024-09-23T16:30:00,3797.74,980,5229,940.683,-489.423
2024-09-23,2024-09-23T16:30:00,2024-09-23T17:00:00,3765.53,980,5335,926.357,-336.887
2024-09-23,2024-09-23T17:00:00,2024-09-23T17:30:00,3853.11,957,5336,909.616,-383.726
2024-09-23,2024-09-23T17:30:00,2024-09-23T18:00:00,3796.83,949,5247,874.516,-373.346
2024-09-23,2024-09-23T18:00:00,2024-09-23T18:30:00,3787.77,915,5168,841.049,-375.818
2024-09-23,2024-09-23T18:30:00,2024-09-23T19:00:00,3770.57,913,5139,806.704,-351.273
2024-09-23,2024-09-23T19:00:00,2024-09-23T19:30:00,3762.15,980,5225,773.275,-290.425
2024-09-23,2024-09-23T19:30:00,2024-09-23T20:00:00,3707.52,980,5219,733.497,-202.017
2024-09-23,2024-09-23T20:00:00,2024-09-23T20:30:00,3701.22,980,5066,693.795,-309.015
2024-09-23,2024-09-23T20:30:00,2024-09-23T21:00:00,3437.19,980,4870,659.69,-206.88
2024-09-23,2024-09-23T21:00:00,2024-09-23T21:30:00,3388.29,968,4624,625.454,-357.744
2024-09-23,2024-09-23T21:30:00,2024-09-23T22:00:00,3186.209,846,4386,592.442,-238.651
