ROW,TradeDate,StartTime,EndTime,NetImbalanceVolume,ImbalancePrice,ASPPriceUsage,TotalUnitAvailability,DemandControlVolume,PMEA,QPAR,AdministeredScarcityPrice,MarketBackupPrice,ShortTermReserveQuantity,OperatingReserveRequirement
1,2024-09-12,2024-09-12T00:00:00,2024-09-12T00:05:00,34.805,144.75,N,7359.594,0,18577,10,-1000,124.28,4735.458,503.964
1,2024-09-12,2024-09-12T01:00:00,2024-09-12T01:05:00,33.172,144.61,N,7238.663,0,18577,10,-1000,130.26,4647.497,503.964
1,2024-09-12,2024-09-12T02:00:00,2024-09-12T02:05:00,21.64,116.01,N,7288.351,0,18577,10,-1000,121.91,4931.591,503.964
1,2024-09-12,2024-09-12T03:00:00,2024-09-12T03:05:00,14.589,83.12,N,7225.5,0,18577,10,-1000,121.92,4986.199,503.964
1,2024-09-12,2024-09-12T04:00:00,2024-09-12T04:05:00,-10.211,57.67,N,7163.297,0,0,10,-1000,115.57,4897.751,491.855
1,2024-09-12,2024-09-12T05:00:00,2024-09-12T05:05:00,-18.167,84.06,N,7085.377,0,-1000,10,-1000,121.46,4634.547,437
1,2024-09-12,2024-09-12T06:00:00,2024-09-12T06:05:00,29.564,188.29,N,6981.935,0,18577,10,-1000,167.53,3705.823,447.013
1,2024-09-12,2024-09-12T07:00:00,2024-09-12T07:05:00,45.6,89.51,N,7212.642,0,89.51,10,-1000,260.4,3073.041,503.964
1,2024-09-12,2024-09-12T08:00:00,2024-09-12T08:05:00,28.437,85.03,N,7429.299,0,85.03,10,-1000,214.83,3205.115,503.964
1,2024-09-12,2024-09-12T09:00:00,2024-09-12T09:05:00,23.304,150.79,N,7714.845,0,150.79,10,-1000,155,4008.827,503.964
1,2024-09-12,2024-09-12T10:00:00,2024-09-12T10:05:00,-14.125,75.64,N,7688.392,0,-0.05,10,-1000,112.25,4562.282,503.964
1,2024-09-12,2024-09-12T11:00:00,2024-09-12T11:05:00,-33.117,63.49,N,7879.838,0,37.71,10,-1000,102.26,4811.021,462.897
1,2024-09-12,2024-09-12T12:00:00,2024-09-12T12:05:00,-24.71,69.56,N,8081.66,0,37.71,10,-1000,97.37,4876.274,475.989
1,2024-09-12,2024-09-12T13:00:00,2024-09-12T13:05:00,-55.453,78.37,N,8096.594,0,78.37,10,-1000,98.32,5307.06,503.964
1,2024-09-12,2024-09-12T14:00:00,2024-09-12T14:05:00,-48.617,73.26,N,8134.953,0,37.71,10,-1000,100.34,5132.911,503.964
1,2024-09-12,2024-09-12T15:00:00,2024-09-12T15:05:00,-47.59,74.99,N,7812.082,0,48.56,10,-1000,115.83,4436.57,419.715
1,2024-09-12,2024-09-12T16:00:00,2024-09-12T16:05:00,-52.099,62.59,N,7607.848,0,33.59,10,-1000,149.55,4045.756,494.651
1,2024-09-12,2024-09-12T17:00:00,2024-09-12T17:05:00,-25.654,80.87,N,7212.131,0,56.29,10,-1000,163.65,3570.122,503.964
1,2024-09-12,2024-09-12T18:00:00,2024-09-12T18:05:00,6.096,165.94,N,6718.977,0,494.62,10,-1000,198.49,3034.749,503.964
1,2024-09-12,2024-09-12T19:00:00,2024-09-12T19:05:00,16.298,144.77,N,6847.141,0,144.77,10,-1000,231.27,2719.831,503.964
1,2024-09-12,2024-09-12T20:00:00,2024-09-12T20:05:00,29.753,314.77,N,6780.514,0,492.15,10,-1000,213.33,2546.158,503.964
1,2024-09-12,2024-09-12T21:00:00,2024-09-12T21:05:00,14.457,219.11,N,6714.486,0,18577,10,-1000,187.04,2888.444,503.964
1,2024-09-13,2024-09-12T22:00:00,2024-09-12T22:05:00,3.263,159.8,N,6671.003,0,206.94,10,-1000,124.9,3676.381,503.964
1,2024-09-13,2024-09-12T23:00:00,2024-09-12T23:05:00,7.886,220.72,N,6626.25,0,245,10,-1000,124.66,4111.418,503.964
