DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2024-09-12,2024-09-13,2024-09-12T22:00:00,2024-09-12T22:30:00,3464,729,4193
2024-09-12,2024-09-13,2024-09-12T22:30:00,2024-09-12T23:00:00,3370,687,4057
2024-09-12,2024-09-13,2024-09-12T23:00:00,2024-09-12T23:30:00,3237,665,3902
2024-09-12,2024-09-13,2024-09-12T23:30:00,2024-09-13T00:00:00,3195,639,3834
2024-09-13,2024-09-13,2024-09-13T00:00:00,2024-09-13T00:30:00,3119,624,3743
2024-09-13,2024-09-13,2024-09-13T00:30:00,2024-09-13T01:00:00,3081,601,3682
2024-09-13,2024-09-13,2024-09-13T01:00:00,2024-09-13T01:30:00,3031,588,3619
2024-09-13,2024-09-13,2024-09-13T01:30:00,2024-09-13T02:00:00,3045,591,3636
2024-09-13,2024-09-13,2024-09-13T02:00:00,2024-09-13T02:30:00,3009,584,3593
2024-09-13,2024-09-13,2024-09-13T02:30:00,2024-09-13T03:00:00,3038,575,3613
2024-09-13,2024-09-13,2024-09-13T03:00:00,2024-09-13T03:30:00,3011,570,3581
2024-09-13,2024-09-13,2024-09-13T03:30:00,2024-09-13T04:00:00,3016,576,3592
2024-09-13,2024-09-13,2024-09-13T04:00:00,2024-09-13T04:30:00,3043,580,3623
2024-09-13,2024-09-13,2024-09-13T04:30:00,2024-09-13T05:00:00,3108,603,3711
2024-09-13,2024-09-13,2024-09-13T05:00:00,2024-09-13T05:30:00,3220,647,3867
2024-09-13,2024-09-13,2024-09-13T05:30:00,2024-09-13T06:00:00,3441,708,4149
2024-09-13,2024-09-13,2024-09-13T06:00:00,2024-09-13T06:30:00,3698,789,4487
2024-09-13,2024-09-13,2024-09-13T06:30:00,2024-09-13T07:00:00,3984,893,4877
2024-09-13,2024-09-13,2024-09-13T07:00:00,2024-09-13T07:30:00,4145,950,5095
2024-09-13,2024-09-13,2024-09-13T07:30:00,2024-09-13T08:00:00,4186,978,5164
2024-09-13,2024-09-13,2024-09-13T08:00:00,2024-09-13T08:30:00,4186,992,5178
2024-09-13,2024-09-13,2024-09-13T08:30:00,2024-09-13T09:00:00,4249,1010,5259
2024-09-13,2024-09-13,2024-09-13T09:00:00,2024-09-13T09:30:00,4187,1006,5193
2024-09-13,2024-09-13,2024-09-13T09:30:00,2024-09-13T10:00:00,4151,991,5142
2024-09-13,2024-09-13,2024-09-13T10:00:00,2024-09-13T10:30:00,4126,997,5123
2024-09-13,2024-09-13,2024-09-13T10:30:00,2024-09-13T11:00:00,4119,983,5102
2024-09-13,2024-09-13,2024-09-13T11:00:00,2024-09-13T11:30:00,4088,969,5057
2024-09-13,2024-09-13,2024-09-13T11:30:00,2024-09-13T12:00:00,4059,961,5020
2024-09-13,2024-09-13,2024-09-13T12:00:00,2024-09-13T12:30:00,4041,951,4992
2024-09-13,2024-09-13,2024-09-13T12:30:00,2024-09-13T13:00:00,4003,933,4936
2024-09-13,2024-09-13,2024-09-13T13:00:00,2024-09-13T13:30:00,3968,908,4876
2024-09-13,2024-09-13,2024-09-13T13:30:00,2024-09-13T14:00:00,3952,896,4848
2024-09-13,2024-09-13,2024-09-13T14:00:00,2024-09-13T14:30:00,3940,878,4818
2024-09-13,2024-09-13,2024-09-13T14:30:00,2024-09-13T15:00:00,3968,873,4841
2024-09-13,2024-09-13,2024-09-13T15:00:00,2024-09-13T15:30:00,4068,864,4932
2024-09-13,2024-09-13,2024-09-13T15:30:00,2024-09-13T16:00:00,4144,888,5032
2024-09-13,2024-09-13,2024-09-13T16:00:00,2024-09-13T16:30:00,4211,927,5138
2024-09-13,2024-09-13,2024-09-13T16:30:00,2024-09-13T17:00:00,4277,947,5224
2024-09-13,2024-09-13,2024-09-13T17:00:00,2024-09-13T17:30:00,4280,931,5211
2024-09-13,2024-09-13,2024-09-13T17:30:00,2024-09-13T18:00:00,4262,913,5175
2024-09-13,2024-09-13,2024-09-13T18:00:00,2024-09-13T18:30:00,4211,898,5109
2024-09-13,2024-09-13,2024-09-13T18:30:00,2024-09-13T19:00:00,4158,888,5046
2024-09-13,2024-09-13,2024-09-13T19:00:00,2024-09-13T19:30:00,4145,886,5031
2024-09-13,2024-09-13,2024-09-13T19:30:00,2024-09-13T20:00:00,4214,910,5124
2024-09-13,2024-09-13,2024-09-13T20:00:00,2024-09-13T20:30:00,4171,889,5060
2024-09-13,2024-09-13,2024-09-13T20:30:00,2024-09-13T21:00:00,4008,846,4854
2024-09-13,2024-09-13,2024-09-13T21:00:00,2024-09-13T21:30:00,3816,811,4627
2024-09-13,2024-09-13,2024-09-13T21:30:00,2024-09-13T22:00:00,3648,763,4411
2024-09-13,2024-09-14,2024-09-13T22:00:00,2024-09-13T22:30:00,3487,724,4211
2024-09-13,2024-09-14,2024-09-13T22:30:00,2024-09-13T23:00:00,3377,680,4057
2024-09-13,2024-09-14,2024-09-13T23:00:00,2024-09-13T23:30:00,3388,572,3960
2024-09-13,2024-09-14,2024-09-13T23:30:00,2024-09-14T00:00:00,3287,542,3829
2024-09-14,2024-09-14,2024-09-14T00:00:00,2024-09-14T00:30:00,3194,536,3730
2024-09-14,2024-09-14,2024-09-14T00:30:00,2024-09-14T01:00:00,3144,524,3668
2024-09-14,2024-09-14,2024-09-14T01:00:00,2024-09-14T01:30:00,3098,515,3613
2024-09-14,2024-09-14,2024-09-14T01:30:00,2024-09-14T02:00:00,3121,522,3643
2024-09-14,2024-09-14,2024-09-14T02:00:00,2024-09-14T02:30:00,3083,491,3574
2024-09-14,2024-09-14,2024-09-14T02:30:00,2024-09-14T03:00:00,3043,483,3526
2024-09-14,2024-09-14,2024-09-14T03:00:00,2024-09-14T03:30:00,3005,474,3479
2024-09-14,2024-09-14,2024-09-14T03:30:00,2024-09-14T04:00:00,3009,472,3481
2024-09-14,2024-09-14,2024-09-14T04:00:00,2024-09-14T04:30:00,2991,480,3471
2024-09-14,2024-09-14,2024-09-14T04:30:00,2024-09-14T05:00:00,3002,490,3492
2024-09-14,2024-09-14,2024-09-14T05:00:00,2024-09-14T05:30:00,3080,510,3590
2024-09-14,2024-09-14,2024-09-14T05:30:00,2024-09-14T06:00:00,3138,530,3668
2024-09-14,2024-09-14,2024-09-14T06:00:00,2024-09-14T06:30:00,3194,540,3734
2024-09-14,2024-09-14,2024-09-14T06:30:00,2024-09-14T07:00:00,3332,585,3917
2024-09-14,2024-09-14,2024-09-14T07:00:00,2024-09-14T07:30:00,3497,656,4153
2024-09-14,2024-09-14,2024-09-14T07:30:00,2024-09-14T08:00:00,3656,700,4356
2024-09-14,2024-09-14,2024-09-14T08:00:00,2024-09-14T08:30:00,3781,715,4496
2024-09-14,2024-09-14,2024-09-14T08:30:00,2024-09-14T09:00:00,3870,725,4595
2024-09-14,2024-09-14,2024-09-14T09:00:00,2024-09-14T09:30:00,3898,754,4652
2024-09-14,2024-09-14,2024-09-14T09:30:00,2024-09-14T10:00:00,3918,747,4665
2024-09-14,2024-09-14,2024-09-14T10:00:00,2024-09-14T10:30:00,3924,745,4669
2024-09-14,2024-09-14,2024-09-14T10:30:00,2024-09-14T11:00:00,3927,735,4662
2024-09-14,2024-09-14,2024-09-14T11:00:00,2024-09-14T11:30:00,3930,710,4640
2024-09-14,2024-09-14,2024-09-14T11:30:00,2024-09-14T12:00:00,3914,697,4611
2024-09-14,2024-09-14,2024-09-14T12:00:00,2024-09-14T12:30:00,3890,705,4595
2024-09-14,2024-09-14,2024-09-14T12:30:00,2024-09-14T13:00:00,3859,684,4543
2024-09-14,2024-09-14,2024-09-14T13:00:00,2024-09-14T13:30:00,3841,694,4535
2024-09-14,2024-09-14,2024-09-14T13:30:00,2024-09-14T14:00:00,3814,675,4489
2024-09-14,2024-09-14,2024-09-14T14:00:00,2024-09-14T14:30:00,3830,665,4495
2024-09-14,2024-09-14,2024-09-14T14:30:00,2024-09-14T15:00:00,3834,669,4503
2024-09-14,2024-09-14,2024-09-14T15:00:00,2024-09-14T15:30:00,3875,647,4522
2024-09-14,2024-09-14,2024-09-14T15:30:00,2024-09-14T16:00:00,3906,675,4581
2024-09-14,2024-09-14,2024-09-14T16:00:00,2024-09-14T16:30:00,3965,709,4674
2024-09-14,2024-09-14,2024-09-14T16:30:00,2024-09-14T17:00:00,4051,744,4795
2024-09-14,2024-09-14,2024-09-14T17:00:00,2024-09-14T17:30:00,4126,755,4881
2024-09-14,2024-09-14,2024-09-14T17:30:00,2024-09-14T18:00:00,4042,749,4791
2024-09-14,2024-09-14,2024-09-14T18:00:00,2024-09-14T18:30:00,3997,736,4733
2024-09-14,2024-09-14,2024-09-14T18:30:00,2024-09-14T19:00:00,3964,729,4693
2024-09-14,2024-09-14,2024-09-14T19:00:00,2024-09-14T19:30:00,3919,737,4656
2024-09-14,2024-09-14,2024-09-14T19:30:00,2024-09-14T20:00:00,3948,755,4703
2024-09-14,2024-09-14,2024-09-14T20:00:00,2024-09-14T20:30:00,3880,728,4608
2024-09-14,2024-09-14,2024-09-14T20:30:00,2024-09-14T21:00:00,3752,697,4449
2024-09-14,2024-09-14,2024-09-14T21:00:00,2024-09-14T21:30:00,3614,653,4267
2024-09-14,2024-09-14,2024-09-14T21:30:00,2024-09-14T22:00:00,3495,618,4113
2024-09-14,2024-09-15,2024-09-14T22:00:00,2024-09-14T22:30:00,3381,598,3979
2024-09-14,2024-09-15,2024-09-14T22:30:00,2024-09-14T23:00:00,3282,565,3847
2024-09-14,2024-09-15,2024-09-14T23:00:00,2024-09-14T23:30:00,3130,520,3650
2024-09-14,2024-09-15,2024-09-14T23:30:00,2024-09-15T00:00:00,3055,497,3552
2024-09-15,2024-09-15,2024-09-15T00:00:00,2024-09-15T00:30:00,3003,485,3488
