DeliveryDate,TradeDate,StartTime,EndTime,LoadForecastROI,LoadForecastNI,AggregatedForecast
2024-12-30,2024-12-31,2024-12-30T23:00:00,2024-12-30T23:30:00,3799,642,4441
2024-12-30,2024-12-31,2024-12-30T23:30:00,2024-12-31T00:00:00,3764,578,4342
2024-12-31,2024-12-31,2024-12-31T00:00:00,2024-12-31T00:30:00,3780,569,4349
2024-12-31,2024-12-31,2024-12-31T00:30:00,2024-12-31T01:00:00,3671,537,4208
2024-12-31,2024-12-31,2024-12-31T01:00:00,2024-12-31T01:30:00,3535,504,4039
2024-12-31,2024-12-31,2024-12-31T01:30:00,2024-12-31T02:00:00,3429,501,3930
2024-12-31,2024-12-31,2024-12-31T02:00:00,2024-12-31T02:30:00,3321,492,3813
2024-12-31,2024-12-31,2024-12-31T02:30:00,2024-12-31T03:00:00,3248,474,3722
2024-12-31,2024-12-31,2024-12-31T03:00:00,2024-12-31T03:30:00,3191,453,3644
2024-12-31,2024-12-31,2024-12-31T03:30:00,2024-12-31T04:00:00,3161,454,3615
2024-12-31,2024-12-31,2024-12-31T04:00:00,2024-12-31T04:30:00,3149,450,3599
2024-12-31,2024-12-31,2024-12-31T04:30:00,2024-12-31T05:00:00,3120,454,3574
2024-12-31,2024-12-31,2024-12-31T05:00:00,2024-12-31T05:30:00,3100,458,3558
2024-12-31,2024-12-31,2024-12-31T05:30:00,2024-12-31T06:00:00,3148,470,3618
2024-12-31,2024-12-31,2024-12-31T06:00:00,2024-12-31T06:30:00,3213,505,3718
2024-12-31,2024-12-31,2024-12-31T06:30:00,2024-12-31T07:00:00,3318,543,3861
2024-12-31,2024-12-31,2024-12-31T07:00:00,2024-12-31T07:30:00,3413,591,4004
2024-12-31,2024-12-31,2024-12-31T07:30:00,2024-12-31T08:00:00,3506,647,4153
2024-12-31,2024-12-31,2024-12-31T08:00:00,2024-12-31T08:30:00,3572,689,4261
2024-12-31,2024-12-31,2024-12-31T08:30:00,2024-12-31T09:00:00,3645,714,4359
2024-12-31,2024-12-31,2024-12-31T09:00:00,2024-12-31T09:30:00,3750,751,4501
2024-12-31,2024-12-31,2024-12-31T09:30:00,2024-12-31T10:00:00,3873,799,4672
2024-12-31,2024-12-31,2024-12-31T10:00:00,2024-12-31T10:30:00,3977,844,4821
2024-12-31,2024-12-31,2024-12-31T10:30:00,2024-12-31T11:00:00,4073,879,4952
2024-12-31,2024-12-31,2024-12-31T11:00:00,2024-12-31T11:30:00,4159,901,5060
2024-12-31,2024-12-31,2024-12-31T11:30:00,2024-12-31T12:00:00,4203,917,5120
2024-12-31,2024-12-31,2024-12-31T12:00:00,2024-12-31T12:30:00,4250,941,5191
2024-12-31,2024-12-31,2024-12-31T12:30:00,2024-12-31T13:00:00,4294,972,5266
2024-12-31,2024-12-31,2024-12-31T13:00:00,2024-12-31T13:30:00,4315,994,5309
2024-12-31,2024-12-31,2024-12-31T13:30:00,2024-12-31T14:00:00,4314,971,5285
2024-12-31,2024-12-31,2024-12-31T14:00:00,2024-12-31T14:30:00,4281,943,5224
2024-12-31,2024-12-31,2024-12-31T14:30:00,2024-12-31T15:00:00,4278,931,5209
2024-12-31,2024-12-31,2024-12-31T15:00:00,2024-12-31T15:30:00,4257,925,5182
2024-12-31,2024-12-31,2024-12-31T15:30:00,2024-12-31T16:00:00,4299,940,5239
2024-12-31,2024-12-31,2024-12-31T16:00:00,2024-12-31T16:30:00,4365,958,5323
2024-12-31,2024-12-31,2024-12-31T16:30:00,2024-12-31T17:00:00,4521,1048,5569
2024-12-31,2024-12-31,2024-12-31T17:00:00,2024-12-31T17:30:00,4679,1121,5800
2024-12-31,2024-12-31,2024-12-31T17:30:00,2024-12-31T18:00:00,4750,1150,5900
2024-12-31,2024-12-31,2024-12-31T18:00:00,2024-12-31T18:30:00,4713,1119,5832
2024-12-31,2024-12-31,2024-12-31T18:30:00,2024-12-31T19:00:00,4644,1056,5700
2024-12-31,2024-12-31,2024-12-31T19:00:00,2024-12-31T19:30:00,4539,992,5531
2024-12-31,2024-12-31,2024-12-31T19:30:00,2024-12-31T20:00:00,4414,930,5344
2024-12-31,2024-12-31,2024-12-31T20:00:00,2024-12-31T20:30:00,4304,883,5187
2024-12-31,2024-12-31,2024-12-31T20:30:00,2024-12-31T21:00:00,4213,832,5045
2024-12-31,2024-12-31,2024-12-31T21:00:00,2024-12-31T21:30:00,4125,783,4908
2024-12-31,2024-12-31,2024-12-31T21:30:00,2024-12-31T22:00:00,4020,741,4761
2024-12-31,2024-12-31,2024-12-31T22:00:00,2024-12-31T22:30:00,3922,705,4627
2024-12-31,2024-12-31,2024-12-31T22:30:00,2024-12-31T23:00:00,3875,667,4542
2024-12-31,2025-01-01,2024-12-31T23:00:00,2024-12-31T23:30:00,3850,639,4489
2024-12-31,2025-01-01,2024-12-31T23:30:00,2025-01-01T00:00:00,3918,604,4522
2025-01-01,2025-01-01,2025-01-01T00:00:00,2025-01-01T00:30:00,3562,552,4114
2025-01-01,2025-01-01,2025-01-01T00:30:00,2025-01-01T01:00:00,3489,520,4009
2025-01-01,2025-01-01,2025-01-01T01:00:00,2025-01-01T01:30:00,3421,509,3930
2025-01-01,2025-01-01,2025-01-01T01:30:00,2025-01-01T02:00:00,3344,523,3867
2025-01-01,2025-01-01,2025-01-01T02:00:00,2025-01-01T02:30:00,3265,503,3768
2025-01-01,2025-01-01,2025-01-01T02:30:00,2025-01-01T03:00:00,3246,493,3739
2025-01-01,2025-01-01,2025-01-01T03:00:00,2025-01-01T03:30:00,3162,482,3644
2025-01-01,2025-01-01,2025-01-01T03:30:00,2025-01-01T04:00:00,3107,474,3581
2025-01-01,2025-01-01,2025-01-01T04:00:00,2025-01-01T04:30:00,3044,470,3514
2025-01-01,2025-01-01,2025-01-01T04:30:00,2025-01-01T05:00:00,3000,467,3467
2025-01-01,2025-01-01,2025-01-01T05:00:00,2025-01-01T05:30:00,3014,472,3486
2025-01-01,2025-01-01,2025-01-01T05:30:00,2025-01-01T06:00:00,3001,488,3489
2025-01-01,2025-01-01,2025-01-01T06:00:00,2025-01-01T06:30:00,3042,518,3560
2025-01-01,2025-01-01,2025-01-01T06:30:00,2025-01-01T07:00:00,3088,559,3647
2025-01-01,2025-01-01,2025-01-01T07:00:00,2025-01-01T07:30:00,3112,611,3723
2025-01-01,2025-01-01,2025-01-01T07:30:00,2025-01-01T08:00:00,3187,664,3851
2025-01-01,2025-01-01,2025-01-01T08:00:00,2025-01-01T08:30:00,3201,724,3925
2025-01-01,2025-01-01,2025-01-01T08:30:00,2025-01-01T09:00:00,3209,765,3974
2025-01-01,2025-01-01,2025-01-01T09:00:00,2025-01-01T09:30:00,3278,818,4096
2025-01-01,2025-01-01,2025-01-01T09:30:00,2025-01-01T10:00:00,3400,874,4274
2025-01-01,2025-01-01,2025-01-01T10:00:00,2025-01-01T10:30:00,3532,904,4436
2025-01-01,2025-01-01,2025-01-01T10:30:00,2025-01-01T11:00:00,3653,936,4589
2025-01-01,2025-01-01,2025-01-01T11:00:00,2025-01-01T11:30:00,3763,966,4729
2025-01-01,2025-01-01,2025-01-01T11:30:00,2025-01-01T12:00:00,3867,991,4858
2025-01-01,2025-01-01,2025-01-01T12:00:00,2025-01-01T12:30:00,4000,1019,5019
2025-01-01,2025-01-01,2025-01-01T12:30:00,2025-01-01T13:00:00,4102,1050,5152
2025-01-01,2025-01-01,2025-01-01T13:00:00,2025-01-01T13:30:00,4192,1073,5265
