DATE & TIME, ACTUAL DEMAND(MW), FORECAST DEMAND(MW), REGION
1 March 2023 00:00,4246,-,All Island
1 March 2023 00:15,4197,-,All Island
1 March 2023 00:30,4128,-,All Island
1 March 2023 00:45,4071,-,All Island
1 March 2023 01:00,4022,-,All Island
1 March 2023 01:15,4023,-,All Island
1 March 2023 01:30,3982,-,All Island
1 March 2023 01:45,3937,-,All Island
1 March 2023 02:00,3897,-,All Island
1 March 2023 02:15,3905,-,All Island
1 March 2023 02:30,3867,-,All Island
1 March 2023 02:45,3847,-,All Island
1 March 2023 03:00,3824,-,All Island
1 March 2023 03:15,3837,-,All Island
1 March 2023 03:30,3811,-,All Island
1 March 2023 03:45,3801,-,All Island
1 March 2023 04:00,3787,-,All Island
1 March 2023 04:15,3804,-,All Island
1 March 2023 04:30,3804,-,All Island
1 March 2023 04:45,3795,-,All Island
1 March 2023 05:00,3819,-,All Island
1 March 2023 05:15,3885,-,All Island
1 March 2023 05:30,3915,-,All Island
1 March 2023 05:45,3994,-,All Island
1 March 2023 06:00,4109,-,All Island
1 March 2023 06:15,4309,-,All Island
1 March 2023 06:30,4439,-,All Island
1 March 2023 06:45,4635,-,All Island
1 March 2023 07:00,4835,-,All Island
1 March 2023 07:15,5131,-,All Island
1 March 2023 07:30,5291,-,All Island
1 March 2023 07:45,5435,-,All Island
1 March 2023 08:00,5509,-,All Island
1 March 2023 08:15,5598,-,All Island
1 March 2023 08:30,5615,-,All Island
1 March 2023 08:45,5622,-,All Island
1 March 2023 09:00,5692,-,All Island
1 March 2023 09:15,5766,-,All Island
1 March 2023 09:30,5773,-,All Island
1 March 2023 09:45,5758,-,All Island
1 March 2023 10:00,5744,-,All Island
1 March 2023 10:15,5692,-,All Island
1 March 2023 10:30,5680,-,All Island
1 March 2023 10:45,5686,-,All Island
1 March 2023 11:00,5668,-,All Island
1 March 2023 11:15,5530,-,All Island
1 March 2023 11:30,5621,-,All Island
1 March 2023 11:45,5606,-,All Island
1 March 2023 12:00,5614,-,All Island
1 March 2023 12:15,5609,-,All Island
1 March 2023 12:30,5581,-,All Island
1 March 2023 12:45,5620,-,All Island
1 March 2023 13:00,5597,-,All Island
1 March 2023 13:15,5565,-,All Island
1 March 2023 13:30,5491,-,All Island
1 March 2023 13:45,5482,-,All Island
1 March 2023 14:00,5475,-,All Island
1 March 2023 14:15,5514,-,All Island
1 March 2023 14:30,5508,-,All Island
1 March 2023 14:45,5528,-,All Island
1 March 2023 15:00,5498,-,All Island
1 March 2023 15:15,5550,-,All Island
1 March 2023 15:30,5578,-,All Island
1 March 2023 15:45,5587,-,All Island
1 March 2023 16:00,5613,-,All Island
1 March 2023 16:15,5668,-,All Island
1 March 2023 16:30,5717,-,All Island
1 March 2023 16:45,5804,-,All Island
1 March 2023 17:00,5855,-,All Island
1 March 2023 17:15,5912,-,All Island
