DATE & TIME, ACTUAL GENERATION(MW), REGION
1 January 2019 00:00,3064.0,All Island
1 January 2019 00:15,3114.0,All Island
1 January 2019 00:30,3123.0,All Island
1 January 2019 00:45,2984.0,All Island
1 January 2019 01:00,2916.0,All Island
1 January 2019 01:15,2892.0,All Island
1 January 2019 01:30,2843.0,All Island
1 January 2019 01:45,2688.0,All Island
1 January 2019 02:00,2537.0,All Island
1 January 2019 02:15,2414.0,All Island
1 January 2019 02:30,2310.0,All Island
1 January 2019 02:45,2255.0,All Island
1 January 2019 03:00,2221.0,All Island
1 January 2019 03:15,2194.0,All Island
1 January 2019 03:30,2157.0,All Island
1 January 2019 03:45,2133.0,All Island
1 January 2019 04:00,2118.0,All Island
1 January 2019 04:15,2158.0,All Island
1 January 2019 04:30,2133.0,All Island
1 January 2019 04:45,2120.0,All Island
1 January 2019 05:00,2112.0,All Island
1 January 2019 05:15,2128.0,All Island
1 January 2019 05:30,2123.0,All Island
1 January 2019 05:45,2128.0,All Island
1 January 2019 06:00,2153.0,All Island
1 January 2019 06:15,2201.0,All Island
1 January 2019 06:30,2214.0,All Island
1 January 2019 06:45,2240.0,All Island
1 January 2019 07:00,2266.0,All Island
1 January 2019 07:15,2235.0,All Island
1 January 2019 07:30,2244.0,All Island
1 January 2019 07:45,2292.0,All Island
1 January 2019 08:00,2315.0,All Island
1 January 2019 08:15,2325.0,All Island
1 January 2019 08:30,2368.0,All Island
1 January 2019 08:45,2335.0,All Island
1 January 2019 09:00,2387.0,All Island
1 January 2019 09:15,2498.0,All Island
1 January 2019 09:30,2531.0,All Island
1 January 2019 09:45,2601.0,All Island
1 January 2019 10:00,2749.0,All Island
1 January 2019 10:15,2906.0,All Island
1 January 2019 10:30,2999.0,All Island
1 January 2019 10:45,3022.0,All Island
1 January 2019 11:00,3031.0,All Island
1 January 2019 11:15,3032.0,All Island
1 January 2019 11:30,3042.0,All Island
1 January 2019 11:45,3106.0,All Island
1 January 2019 12:00,3186.0,All Island
1 January 2019 12:15,3271.0,All Island
1 January 2019 12:30,3320.0,All Island
1 January 2019 12:45,3360.0,All Island
1 January 2019 13:00,3401.0,All Island
1 January 2019 13:15,3418.0,All Island
1 January 2019 13:30,3410.0,All Island
1 January 2019 13:45,3382.0,All Island
1 January 2019 14:00,3357.0,All Island
1 January 2019 14:15,3348.0,All Island
1 January 2019 14:30,3337.0,All Island
1 January 2019 14:45,3318.0,All Island
1 January 2019 15:00,3323.0,All Island
1 January 2019 15:15,3329.0,All Island
1 January 2019 15:30,3327.0,All Island
1 January 2019 15:45,3340.0,All Island
1 January 2019 16:00,3392.0,All Island
1 January 2019 16:15,3474.0,All Island
1 January 2019 16:30,3610.0,All Island
1 January 2019 16:45,3787.0,All Island
1 January 2019 17:00,3908.0,All Island
1 January 2019 17:15,4000.0,All Island
1 January 2019 17:30,4040.0,All Island
1 January 2019 17:45,4028.0,All Island
1 January 2019 18:00,3979.0,All Island
1 January 2019 18:15,3944.0,All Island
1 January 2019 18:30,3878.0,All Island
1 January 2019 18:45,3814.0,All Island
1 January 2019 19:00,3778.0,All Island
1 January 2019 19:15,3719.0,All Island
1 January 2019 19:30,3661.0,All Island
1 January 2019 19:45,3605.0,All Island
1 January 2019 20:00,3561.0,All Island
1 January 2019 20:15,3510.0,All Island
1 January 2019 20:30,3435.0,All Island
1 January 2019 20:45,3400.0,All Island
1 January 2019 21:00,3355.0,All Island
1 January 2019 21:15,3311.0,All Island
1 January 2019 21:30,3244.0,All Island
1 January 2019 21:45,3158.0,All Island
1 January 2019 22:00,3096.0,All Island
1 January 2019 22:15,3014.0,All Island
1 January 2019 22:30,2946.0,All Island
1 January 2019 22:45,2878.0,All Island
1 January 2019 23:00,2982.0,All Island
1 January 2019 23:15,2970.0,All Island
1 January 2019 23:30,2897.0,All Island
1 January 2019 23:45,2884.0,All Island
2 January 2019 00:00,2809.0,All Island
2 January 2019 00:15,2747.0,All Island
2 January 2019 00:30,2666.0,All Island
2 January 2019 00:45,2599.0,All Island
2 January 2019 01:00,2542.0,All Island
2 January 2019 01:15,2495.0,All Island
2 January 2019 01:30,2436.0,All Island
2 January 2019 01:45,2387.0,All Island
2 January 2019 02:00,2352.0,All Island
2 January 2019 02:15,2311.0,All Island
2 January 2019 02:30,2279.0,All Island
2 January 2019 02:45,2254.0,All Island
2 January 2019 03:00,2231.0,All Island
2 January 2019 03:15,2286.0,All Island
2 January 2019 03:30,2273.0,All Island
2 January 2019 03:45,2260.0,All Island
2 January 2019 04:00,2271.0,All Island
2 January 2019 04:15,2267.0,All Island
2 January 2019 04:30,2252.0,All Island
2 January 2019 04:45,2252.0,All Island
2 January 2019 05:00,2273.0,All Island
