DATE & TIME, ACTUAL GENERATION(MW), REGION
1 October 2022 00:00,3500,All Island
1 October 2022 00:15,3556,All Island
1 October 2022 00:30,3570,All Island
1 October 2022 00:45,3428,All Island
1 October 2022 01:00,3513,All Island
1 October 2022 01:15,3572,All Island
1 October 2022 01:30,3602,All Island
1 October 2022 01:45,3506,All Island
1 October 2022 02:00,3474,All Island
1 October 2022 02:15,3495,All Island
1 October 2022 02:30,3458,All Island
1 October 2022 02:45,3427,All Island
1 October 2022 03:00,3395,All Island
1 October 2022 03:15,3348,All Island
1 October 2022 03:30,3287,All Island
1 October 2022 03:45,3219,All Island
1 October 2022 04:00,3266,All Island
1 October 2022 04:15,3326,All Island
1 October 2022 04:30,3274,All Island
1 October 2022 04:45,3204,All Island
1 October 2022 05:00,3164,All Island
1 October 2022 05:15,3126,All Island
1 October 2022 05:30,3162,All Island
1 October 2022 05:45,3298,All Island
1 October 2022 06:00,3349,All Island
1 October 2022 06:15,3476,All Island
1 October 2022 06:30,3525,All Island
1 October 2022 06:45,3507,All Island
1 October 2022 07:00,3501,All Island
1 October 2022 07:15,3541,All Island
1 October 2022 07:30,3557,All Island
1 October 2022 07:45,3636,All Island
1 October 2022 08:00,3694,All Island
1 October 2022 08:15,3810,All Island
1 October 2022 08:30,3919,All Island
1 October 2022 08:45,3965,All Island
1 October 2022 09:00,4050,All Island
1 October 2022 09:15,4078,All Island
1 October 2022 09:30,4047,All Island
1 October 2022 09:45,3978,All Island
1 October 2022 10:00,4031,All Island
1 October 2022 10:15,4111,All Island
1 October 2022 10:30,3966,All Island
1 October 2022 10:45,3856,All Island
1 October 2022 11:00,3854,All Island
1 October 2022 11:15,3790,All Island
1 October 2022 11:30,3700,All Island
1 October 2022 11:45,3648,All Island
1 October 2022 12:00,3706,All Island
1 October 2022 12:15,3778,All Island
1 October 2022 12:30,3696,All Island
1 October 2022 12:45,3693,All Island
1 October 2022 13:00,3734,All Island
1 October 2022 13:15,3857,All Island
1 October 2022 13:30,3737,All Island
1 October 2022 13:45,3625,All Island
1 October 2022 14:00,3663,All Island
1 October 2022 14:15,3747,All Island
1 October 2022 14:30,3724,All Island
1 October 2022 14:45,3722,All Island
1 October 2022 15:00,3679,All Island
1 October 2022 15:15,3684,All Island
1 October 2022 15:30,3765,All Island
1 October 2022 15:45,3835,All Island
1 October 2022 16:00,3831,All Island
1 October 2022 16:15,3836,All Island
1 October 2022 16:30,4079,All Island
1 October 2022 16:45,4282,All Island
1 October 2022 17:00,4389,All Island
1 October 2022 17:15,4614,All Island
1 October 2022 17:30,4752,All Island
1 October 2022 17:45,4861,All Island
1 October 2022 18:00,5035,All Island
1 October 2022 18:15,5185,All Island
1 October 2022 18:30,5247,All Island
1 October 2022 18:45,5106,All Island
1 October 2022 19:00,4968,All Island
1 October 2022 19:15,4843,All Island
1 October 2022 19:30,4744,All Island
1 October 2022 19:45,4653,All Island
1 October 2022 20:00,4519,All Island
1 October 2022 20:15,4440,All Island
1 October 2022 20:30,4309,All Island
1 October 2022 20:45,4080,All Island
1 October 2022 21:00,3980,All Island
1 October 2022 21:15,3911,All Island
1 October 2022 21:30,3782,All Island
1 October 2022 21:45,3651,All Island
1 October 2022 22:00,3474,All Island
1 October 2022 22:15,3402,All Island
1 October 2022 22:30,3201,All Island
1 October 2022 22:45,3185,All Island
1 October 2022 23:00,3110,All Island
1 October 2022 23:15,3190,All Island
1 October 2022 23:30,3175,All Island
1 October 2022 23:45,3040,All Island
2 October 2022 00:00,2946,All Island
2 October 2022 00:15,2887,All Island
2 October 2022 00:30,2759,All Island
2 October 2022 00:45,2687,All Island
2 October 2022 01:00,2709,All Island
2 October 2022 01:15,2739,All Island
2 October 2022 01:30,2719,All Island
2 October 2022 01:45,2726,All Island
2 October 2022 02:00,2817,All Island
2 October 2022 02:15,2965,All Island
2 October 2022 02:30,2927,All Island
2 October 2022 02:45,2787,All Island
2 October 2022 03:00,2826,All Island
2 October 2022 03:15,2888,All Island
2 October 2022 03:30,2909,All Island
2 October 2022 03:45,2938,All Island
2 October 2022 04:00,2919,All Island
2 October 2022 04:15,2921,All Island
2 October 2022 04:30,2923,All Island
2 October 2022 04:45,2944,All Island
2 October 2022 05:00,2952,All Island
2 October 2022 05:15,2967,All Island
2 October 2022 05:30,2987,All Island
2 October 2022 05:45,3008,All Island
2 October 2022 06:00,3028,All Island
2 October 2022 06:15,2986,All Island
2 October 2022 06:30,3093,All Island
2 October 2022 06:45,3198,All Island
2 October 2022 07:00,3115,All Island
2 October 2022 07:15,3027,All Island
2 October 2022 07:30,3180,All Island
2 October 2022 07:45,3398,All Island
2 October 2022 08:00,3501,All Island
2 October 2022 08:15,3611,All Island
2 October 2022 08:30,3697,All Island
2 October 2022 08:45,3864,All Island
2 October 2022 09:00,3994,All Island
2 October 2022 09:15,4004,All Island
2 October 2022 09:30,4056,All Island
2 October 2022 09:45,4169,All Island
2 October 2022 10:00,4148,All Island
2 October 2022 10:15,4163,All Island
2 October 2022 10:30,4180,All Island
2 October 2022 10:45,4193,All Island
2 October 2022 11:00,4238,All Island
2 October 2022 11:15,4192,All Island
2 October 2022 11:30,4111,All Island
2 October 2022 11:45,4054,All Island
2 October 2022 12:00,4113,All Island
2 October 2022 12:15,4207,All Island
2 October 2022 12:30,4156,All Island
2 October 2022 12:45,4108,All Island
2 October 2022 13:00,4179,All Island
2 October 2022 13:15,4253,All Island
2 October 2022 13:30,4089,All Island
2 October 2022 13:45,3899,All Island
2 October 2022 14:00,3883,All Island
2 October 2022 14:15,3931,All Island
2 October 2022 14:30,3769,All Island
2 October 2022 14:45,3718,All Island
2 October 2022 15:00,3870,All Island
2 October 2022 15:15,4009,All Island
2 October 2022 15:30,3962,All Island
2 October 2022 15:45,3901,All Island
2 October 2022 16:00,3960,All Island
2 October 2022 16:15,4005,All Island
2 October 2022 16:30,4097,All Island
2 October 2022 16:45,4204,All Island
2 October 2022 17:00,4215,All Island
2 October 2022 17:15,4344,All Island
2 October 2022 17:30,4476,All Island
2 October 2022 17:45,4603,All Island
2 October 2022 18:00,4610,All Island
2 October 2022 18:15,4536,All Island
2 October 2022 18:30,4610,All Island
2 October 2022 18:45,4676,All Island
2 October 2022 19:00,4683,All Island
2 October 2022 19:15,4731,All Island
2 October 2022 19:30,4698,All Island
2 October 2022 19:45,4573,All Island
2 October 2022 20:00,4656,All Island
2 October 2022 20:15,4682,All Island
2 October 2022 20:30,4465,All Island
2 October 2022 20:45,4233,All Island
2 October 2022 21:00,4255,All Island
2 October 2022 21:15,4236,All Island
2 October 2022 21:30,4011,All Island
2 October 2022 21:45,3821,All Island
2 October 2022 22:00,3870,All Island
2 October 2022 22:15,3910,All Island
2 October 2022 22:30,3773,All Island
2 October 2022 22:45,3549,All Island
2 October 2022 23:00,3451,All Island
2 October 2022 23:15,3299,All Island
2 October 2022 23:30,3159,All Island
2 October 2022 23:45,3090,All Island
3 October 2022 00:00,3195,All Island
3 October 2022 00:15,3326,All Island
3 October 2022 00:30,3316,All Island
3 October 2022 00:45,3321,All Island
3 October 2022 01:00,3413,All Island
3 October 2022 01:15,3510,All Island
3 October 2022 01:30,3575,All Island
3 October 2022 01:45,3572,All Island
3 October 2022 02:00,3575,All Island
3 October 2022 02:15,3612,All Island
3 October 2022 02:30,3505,All Island
3 October 2022 02:45,3428,All Island
3 October 2022 03:00,3490,All Island
3 October 2022 03:15,3592,All Island
3 October 2022 03:30,3529,All Island
3 October 2022 03:45,3549,All Island
3 October 2022 04:00,3710,All Island
3 October 2022 04:15,3871,All Island
3 October 2022 04:30,3897,All Island
3 October 2022 04:45,3920,All Island
3 October 2022 05:00,4114,All Island
3 October 2022 05:15,4337,All Island
3 October 2022 05:30,4296,All Island
3 October 2022 05:45,4280,All Island
3 October 2022 06:00,4330,All Island
3 October 2022 06:15,4500,All Island
3 October 2022 06:30,4612,All Island
3 October 2022 06:45,4766,All Island
3 October 2022 07:00,4895,All Island
3 October 2022 07:15,5030,All Island
3 October 2022 07:30,5248,All Island
3 October 2022 07:45,5475,All Island
3 October 2022 08:00,5528,All Island
3 October 2022 08:15,5527,All Island
3 October 2022 08:30,5550,All Island
3 October 2022 08:45,5509,All Island
3 October 2022 09:00,5486,All Island
3 October 2022 09:15,5609,All Island
3 October 2022 09:30,5537,All Island
3 October 2022 09:45,5514,All Island
3 October 2022 10:00,5658,All Island
3 October 2022 10:15,5806,All Island
3 October 2022 10:30,5874,All Island
3 October 2022 10:45,5858,All Island
3 October 2022 11:00,5791,All Island
3 October 2022 11:15,5866,All Island
3 October 2022 11:30,5914,All Island
3 October 2022 11:45,5938,All Island
3 October 2022 12:00,5759,All Island
3 October 2022 12:15,5633,All Island
3 October 2022 12:30,5620,All Island
3 October 2022 12:45,5610,All Island
3 October 2022 13:00,5647,All Island
3 October 2022 13:15,5680,All Island
3 October 2022 13:30,5534,All Island
3 October 2022 13:45,5410,All Island
3 October 2022 14:00,5417,All Island
3 October 2022 14:15,5521,All Island
3 October 2022 14:30,5575,All Island
3 October 2022 14:45,5548,All Island
3 October 2022 15:00,5543,All Island
3 October 2022 15:15,5582,All Island
3 October 2022 15:30,5589,All Island
3 October 2022 15:45,5692,All Island
3 October 2022 16:00,5778,All Island
3 October 2022 16:15,5955,All Island
3 October 2022 16:30,6011,All Island
3 October 2022 16:45,6070,All Island
3 October 2022 17:00,6099,All Island
3 October 2022 17:15,6149,All Island
3 October 2022 17:30,6167,All Island
3 October 2022 17:45,6147,All Island
3 October 2022 18:00,6145,All Island
3 October 2022 18:15,6066,All Island
3 October 2022 18:30,6039,All Island
3 October 2022 18:45,6010,All Island
3 October 2022 19:00,6060,All Island
3 October 2022 19:15,6126,All Island
3 October 2022 19:30,6131,All Island
3 October 2022 19:45,6105,All Island
3 October 2022 20:00,6051,All Island
3 October 2022 20:15,5913,All Island
3 October 2022 20:30,5657,All Island
3 October 2022 20:45,5417,All Island
3 October 2022 21:00,5516,All Island
3 October 2022 21:15,5593,All Island
3 October 2022 21:30,5510,All Island
3 October 2022 21:45,5405,All Island
3 October 2022 22:00,5250,All Island
3 October 2022 22:15,5146,All Island
3 October 2022 22:30,5023,All Island
3 October 2022 22:45,4924,All Island
3 October 2022 23:00,4801,All Island
3 October 2022 23:15,4707,All Island
3 October 2022 23:30,4620,All Island
3 October 2022 23:45,4524,All Island
4 October 2022 00:00,4537,All Island
4 October 2022 00:15,4608,All Island
4 October 2022 00:30,4664,All Island
4 October 2022 00:45,4606,All Island
4 October 2022 01:00,4589,All Island
4 October 2022 01:15,4556,All Island
4 October 2022 01:30,4519,All Island
4 October 2022 01:45,4490,All Island
4 October 2022 02:00,4446,All Island
4 October 2022 02:15,4446,All Island
4 October 2022 02:30,4414,All Island
4 October 2022 02:45,4398,All Island
4 October 2022 03:00,4394,All Island
4 October 2022 03:15,4407,All Island
4 October 2022 03:30,4353,All Island
4 October 2022 03:45,4225,All Island
4 October 2022 04:00,4148,All Island
4 October 2022 04:15,4122,All Island
4 October 2022 04:30,4001,All Island
4 October 2022 04:45,3929,All Island
4 October 2022 05:00,3814,All Island
4 October 2022 05:15,3739,All Island
4 October 2022 05:30,3609,All Island
4 October 2022 05:45,3716,All Island
4 October 2022 06:00,4039,All Island
4 October 2022 06:15,4380,All Island
4 October 2022 06:30,4506,All Island
