DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
1 January 2019 00:00,802,934,All Island
1 January 2019 00:15,777,916,All Island
1 January 2019 00:30,752,911,All Island
1 January 2019 00:45,727,898,All Island
1 January 2019 01:00,703,895,All Island
1 January 2019 01:15,679,918,All Island
1 January 2019 01:30,656,938,All Island
1 January 2019 01:45,632,817,All Island
1 January 2019 02:00,608,719,All Island
1 January 2019 02:15,583,686,All Island
1 January 2019 02:30,557,680,All Island
1 January 2019 02:45,532,659,All Island
1 January 2019 03:00,504,645,All Island
1 January 2019 03:15,473,619,All Island
1 January 2019 03:30,441,538,All Island
1 January 2019 03:45,410,516,All Island
1 January 2019 04:00,380,499,All Island
1 January 2019 04:15,350,513,All Island
1 January 2019 04:30,321,476,All Island
1 January 2019 04:45,291,439,All Island
1 January 2019 05:00,266,427,All Island
1 January 2019 05:15,244,480,All Island
1 January 2019 05:30,223,456,All Island
1 January 2019 05:45,202,458,All Island
1 January 2019 06:00,213,427,All Island
1 January 2019 06:15,198,435,All Island
1 January 2019 06:30,183,415,All Island
1 January 2019 06:45,168,371,All Island
1 January 2019 07:00,155,365,All Island
1 January 2019 07:15,145,352,All Island
1 January 2019 07:30,135,305,All Island
1 January 2019 07:45,124,285,All Island
1 January 2019 08:00,118,271,All Island
1 January 2019 08:15,115,241,All Island
1 January 2019 08:30,111,215,All Island
1 January 2019 08:45,108,205,All Island
1 January 2019 09:00,105,182,All Island
1 January 2019 09:15,104,167,All Island
1 January 2019 09:30,102,165,All Island
1 January 2019 09:45,100,159,All Island
1 January 2019 10:00,97,152,All Island
1 January 2019 10:15,94,144,All Island
1 January 2019 10:30,91,138,All Island
1 January 2019 10:45,87,135,All Island
1 January 2019 11:00,85,125,All Island
1 January 2019 11:15,83,116,All Island
1 January 2019 11:30,82,122,All Island
1 January 2019 11:45,81,124,All Island
1 January 2019 12:00,101,116,All Island
1 January 2019 12:15,96,125,All Island
1 January 2019 12:30,91,110,All Island
1 January 2019 12:45,86,114,All Island
1 January 2019 13:00,82,121,All Island
1 January 2019 13:15,80,116,All Island
1 January 2019 13:30,78,106,All Island
1 January 2019 13:45,76,106,All Island
1 January 2019 14:00,75,106,All Island
1 January 2019 14:15,76,102,All Island
1 January 2019 14:30,77,102,All Island
1 January 2019 14:45,78,95,All Island
1 January 2019 15:00,80,91,All Island
1 January 2019 15:15,84,92,All Island
1 January 2019 15:30,88,80,All Island
1 January 2019 15:45,92,76,All Island
1 January 2019 16:00,98,75,All Island
1 January 2019 16:15,106,76,All Island
1 January 2019 16:30,114,92,All Island
1 January 2019 16:45,123,97,All Island
1 January 2019 17:00,129,111,All Island
1 January 2019 17:15,135,125,All Island
1 January 2019 17:30,140,135,All Island
1 January 2019 17:45,145,154,All Island
1 January 2019 18:00,140,155,All Island
1 January 2019 18:15,141,157,All Island
1 January 2019 18:30,142,150,All Island
