DATE & TIME, FORECAST WIND(MW),  ACTUAL WIND(MW), REGION
1 August 2021 00:00,757,866,All Island
1 August 2021 00:15,768,811,All Island
1 August 2021 00:30,779,826,All Island
1 August 2021 00:45,790,776,All Island
1 August 2021 01:00,786,773,All Island
1 August 2021 01:15,782,767,All Island
1 August 2021 01:30,777,778,All Island
1 August 2021 01:45,773,727,All Island
1 August 2021 02:00,769,727,All Island
1 August 2021 02:15,752,738,All Island
1 August 2021 02:30,735,790,All Island
1 August 2021 02:45,718,721,All Island
1 August 2021 03:00,701,690,All Island
1 August 2021 03:15,706,662,All Island
1 August 2021 03:30,710,619,All Island
1 August 2021 03:45,714,603,All Island
1 August 2021 04:00,719,585,All Island
1 August 2021 04:15,730,583,All Island
1 August 2021 04:30,741,565,All Island
1 August 2021 04:45,752,559,All Island
1 August 2021 05:00,764,585,All Island
1 August 2021 05:15,776,571,All Island
1 August 2021 05:30,789,578,All Island
1 August 2021 05:45,801,595,All Island
1 August 2021 06:00,814,608,All Island
1 August 2021 06:15,819,627,All Island
1 August 2021 06:30,824,611,All Island
1 August 2021 06:45,830,607,All Island
1 August 2021 07:00,780,605,All Island
1 August 2021 07:15,772,609,All Island
1 August 2021 07:30,763,645,All Island
1 August 2021 07:45,754,656,All Island
1 August 2021 08:00,746,634,All Island
1 August 2021 08:15,751,660,All Island
1 August 2021 08:30,755,675,All Island
1 August 2021 08:45,760,706,All Island
1 August 2021 09:00,765,695,All Island
1 August 2021 09:15,760,679,All Island
1 August 2021 09:30,754,699,All Island
1 August 2021 09:45,748,819,All Island
1 August 2021 10:00,743,780,All Island
1 August 2021 10:15,726,783,All Island
1 August 2021 10:30,710,773,All Island
1 August 2021 10:45,694,756,All Island
1 August 2021 11:00,678,743,All Island
1 August 2021 11:15,678,705,All Island
1 August 2021 11:30,679,690,All Island
1 August 2021 11:45,679,667,All Island
1 August 2021 12:00,680,691,All Island
1 August 2021 12:15,686,658,All Island
1 August 2021 12:30,693,629,All Island
1 August 2021 12:45,699,633,All Island
1 August 2021 13:00,703,670,All Island
1 August 2021 13:15,729,667,All Island
1 August 2021 13:30,755,692,All Island
1 August 2021 13:45,780,699,All Island
1 August 2021 14:00,806,702,All Island
1 August 2021 14:15,812,695,All Island
1 August 2021 14:30,818,687,All Island
1 August 2021 14:45,823,688,All Island
1 August 2021 15:00,829,652,All Island
1 August 2021 15:15,845,664,All Island
1 August 2021 15:30,862,667,All Island
1 August 2021 15:45,878,634,All Island
1 August 2021 16:00,895,591,All Island
1 August 2021 16:15,931,573,All Island
1 August 2021 16:30,968,561,All Island
1 August 2021 16:45,1005,574,All Island
1 August 2021 17:00,1042,606,All Island
1 August 2021 17:15,1060,633,All Island
1 August 2021 17:30,1078,593,All Island
1 August 2021 17:45,1095,571,All Island
1 August 2021 18:00,1113,554,All Island
1 August 2021 18:15,1110,556,All Island
1 August 2021 18:30,1107,535,All Island
1 August 2021 18:45,1103,533,All Island
1 August 2021 19:00,1088,545,All Island
1 August 2021 19:15,1080,548,All Island
1 August 2021 19:30,1072,540,All Island
1 August 2021 19:45,1063,530,All Island
1 August 2021 20:00,1055,509,All Island
1 August 2021 20:15,1001,518,All Island
1 August 2021 20:30,947,510,All Island
1 August 2021 20:45,893,486,All Island
1 August 2021 21:00,839,469,All Island
1 August 2021 21:15,812,465,All Island
1 August 2021 21:30,785,469,All Island
1 August 2021 21:45,758,465,All Island
1 August 2021 22:00,731,430,All Island
1 August 2021 22:15,719,418,All Island
1 August 2021 22:30,707,421,All Island
1 August 2021 22:45,696,404,All Island
1 August 2021 23:00,684,391,All Island
1 August 2021 23:15,657,390,All Island
1 August 2021 23:30,630,375,All Island
1 August 2021 23:45,603,370,All Island
2 August 2021 00:00,576,360,All Island
2 August 2021 00:15,564,356,All Island
2 August 2021 00:30,551,356,All Island
2 August 2021 00:45,539,348,All Island
2 August 2021 01:00,469,315,All Island
2 August 2021 01:15,468,309,All Island
2 August 2021 01:30,467,291,All Island
2 August 2021 01:45,466,271,All Island
2 August 2021 02:00,465,250,All Island
2 August 2021 02:15,445,223,All Island
2 August 2021 02:30,425,196,All Island
2 August 2021 02:45,405,190,All Island
2 August 2021 03:00,385,181,All Island
2 August 2021 03:15,366,179,All Island
2 August 2021 03:30,348,172,All Island
2 August 2021 03:45,329,165,All Island
2 August 2021 04:00,310,169,All Island
2 August 2021 04:15,305,178,All Island
2 August 2021 04:30,300,188,All Island
2 August 2021 04:45,295,185,All Island
2 August 2021 05:00,291,182,All Island
2 August 2021 05:15,293,187,All Island
2 August 2021 05:30,296,196,All Island
2 August 2021 05:45,298,169,All Island
2 August 2021 06:00,301,160,All Island
2 August 2021 06:15,294,137,All Island
2 August 2021 06:30,287,121,All Island
2 August 2021 06:45,280,118,All Island
2 August 2021 07:00,249,119,All Island
2 August 2021 07:15,248,123,All Island
2 August 2021 07:30,246,109,All Island
2 August 2021 07:45,245,101,All Island
2 August 2021 08:00,244,89,All Island
2 August 2021 08:15,243,84,All Island
2 August 2021 08:30,243,70,All Island
2 August 2021 08:45,243,70,All Island
2 August 2021 09:00,243,72,All Island
2 August 2021 09:15,247,71,All Island
2 August 2021 09:30,250,80,All Island
2 August 2021 09:45,253,86,All Island
2 August 2021 10:00,256,93,All Island
2 August 2021 10:15,258,105,All Island
2 August 2021 10:30,260,125,All Island
2 August 2021 10:45,263,121,All Island
2 August 2021 11:00,265,129,All Island
2 August 2021 11:15,264,134,All Island
2 August 2021 11:30,263,149,All Island
2 August 2021 11:45,262,153,All Island
2 August 2021 12:00,262,171,All Island
2 August 2021 12:15,262,184,All Island
2 August 2021 12:30,263,180,All Island
2 August 2021 12:45,263,193,All Island
2 August 2021 13:00,323,189,All Island
2 August 2021 13:15,330,169,All Island
2 August 2021 13:30,337,158,All Island
2 August 2021 13:45,345,158,All Island
2 August 2021 14:00,352,181,All Island
2 August 2021 14:15,364,189,All Island
2 August 2021 14:30,376,199,All Island
2 August 2021 14:45,388,208,All Island
2 August 2021 15:00,399,199,All Island
2 August 2021 15:15,398,183,All Island
2 August 2021 15:30,397,164,All Island
2 August 2021 15:45,395,178,All Island
2 August 2021 16:00,394,179,All Island
2 August 2021 16:15,387,156,All Island
2 August 2021 16:30,379,167,All Island
2 August 2021 16:45,372,170,All Island
2 August 2021 17:00,364,170,All Island
2 August 2021 17:15,356,148,All Island
2 August 2021 17:30,348,145,All Island
2 August 2021 17:45,340,146,All Island
2 August 2021 18:00,332,141,All Island
2 August 2021 18:15,322,122,All Island
2 August 2021 18:30,312,115,All Island
2 August 2021 18:45,302,124,All Island
2 August 2021 19:00,237,132,All Island
2 August 2021 19:15,235,120,All Island
2 August 2021 19:30,232,97,All Island
2 August 2021 19:45,229,89,All Island
2 August 2021 20:00,226,80,All Island
2 August 2021 20:15,217,73,All Island
2 August 2021 20:30,208,59,All Island
2 August 2021 20:45,198,54,All Island
2 August 2021 21:00,189,53,All Island
2 August 2021 21:15,183,64,All Island
2 August 2021 21:30,176,71,All Island
2 August 2021 21:45,170,83,All Island
2 August 2021 22:00,163,79,All Island
2 August 2021 22:15,160,71,All Island
